estacion,fecha,rr,tmx,tmn,tmd,hf,vv,ETP_PM(mm/mes),ETP_HAR(mm/mes),ETP_THO(mm/mes)
M0001,2015-01-01,129.9,15.3,6.8,10.4,5.71,8.53,79.791,86.421,23.277
M0001,2015-02-01,145.00000000000003,15.7,7.1,10.8,6.87,10.25,79.813,82.14,26.391
M0001,2015-03-01,128.3,15.0,7.6,10.6,6.24,9.46,79.857,84.736,25.988
M0001,2015-04-01,125.29999999999998,15.5,7.4,10.9,6.83,8.7,84.721,84.5,28.403
M0001,2015-05-01,144.7,15.0,7.2,10.8,5.44,8.71,80.007,80.865,23.136
M0001,2015-06-01,55.800000000000004,15.7,7.3,11.0,5.88,8.3,78.484,78.581,24.705
M0001,2015-07-01,35.4,14.9,6.8,10.5,6.27,8.35,80.173,78.75,25.836
M0001,2015-08-01,2.1,15.8,6.0,10.9,5.94,8.4,94.097,92.746,25.526
M0001,2015-09-01,77.3,17.0,6.2,11.5,5.3,8.0,97.158,100.229,23.407
M0001,2015-10-01,67.4,16.6,7.4,11.2,5.03,8.77,85.551,95.137,22.284
M0001,2015-11-01,59.3,16.4,7.2,11.4,6.1,9.61,88.722,90.535,26.677
M0001,2015-12-01,92.3,17.4,7.5,11.9,6.47,8.78,94.691,96.484,30.682
M0001,2016-01-01,55.5,16.7,7.9,11.8,5.51,8.45,87.204,92.027,25.323
M0001,2016-02-01,60.599999999999994,16.3,8.6,11.6,6.26,8.71,78.583,83.009,25.48
M0001,2016-03-01,100.0,15.9,8.4,11.6,5.64,9.5,83.082,87.961,25.416
M0001,2016-04-01,16.099999999999998,16.5,8.3,11.6,6.17,9.55,81.403,86.905,26.907
M0001,2016-05-01,35.1,15.7,7.8,11.3,6.3,8.73,81.5,82.396,27.547
M0001,2016-06-01,13.5,15.0,7.4,10.6,5.56,7.55,71.819,73.441,21.859
M0001,2016-07-01,25.0,15.5,6.8,10.9,6.82,8.83,87.194,83.495,28.61
M0001,2016-08-01,0.0,16.2,7.0,11.3,6.25,8.98,92.195,91.2,27.328
M0001,2016-09-01,95.69999999999999,16.1,7.6,11.3,5.93,7.79,87.881,88.583,25.093
M0001,2016-10-01,34.599999999999994,16.6,7.4,11.4,5.97,7.94,89.117,95.092,26.37
M0001,2016-11-01,109.89999999999999,16.7,7.5,11.5,5.56,8.79,83.06,90.652,24.007
M0001,2016-12-01,58.400000000000006,15.8,7.9,11.0,6.17,8.73,78.781,83.78,26.157
M0001,2017-01-01,44.7,15.1,7.2,10.8,5.76,8.42,82.58,84.148,24.529
M0001,2017-02-01,36.7,14.3,7.9,10.5,5.21,7.57,66.369,70.216,19.417
M0001,2017-03-01,129.79999999999998,14.9,8.2,11.0,5.76,9.31,76.702,81.553,25.039
M0001,2017-04-01,263.3,15.1,8.4,11.0,5.25,9.82,70.521,76.619,22.086
M0001,2017-05-01,39.60000000000001,15.4,7.8,11.1,6.19,9.31,79.439,79.931,27.183
M0001,2017-06-01,47.2,15.3,7.3,11.1,5.97,8.8,78.709,76.558,25.371
M0001,2017-07-01,11.6,15.1,6.7,10.8,5.95,9.75,83.418,81.568,25.338
M0001,2017-08-01,20.6,15.7,7.2,11.2,6.13,8.9,86.548,87.134,27.191
M0001,2017-09-01,50.7,16.8,7.6,11.6,5.65,9.22,86.55,92.918,25.227
M0001,2017-10-01,78.89999999999999,16.2,7.0,10.9,6.16,8.48,87.865,93.302,26.505
M0001,2017-11-01,98.9,16.1,7.4,11.4,7.18,7.9,90.174,87.523,31.439
M0001,2017-12-01,98.8,15.1,6.5,10.3,6.58,7.14,83.968,84.689,26.571
M0001,2018-01-01,24.599999999999998,15.6,7.9,11.1,6.23,8.6,80.289,84.159,27.326
M0001,2018-02-01,61.699999999999996,15.5,7.7,10.8,6.49,9.35,73.622,77.939,24.932
M0001,2018-03-01,76.3,15.6,7.9,11.0,5.61,7.54,81.476,87.99,24.357
M0001,2018-04-01,150.70000000000002,15.6,8.2,11.2,5.69,9.86,75.174,81.241,24.396
M0001,2018-05-01,19.5,15.0,7.2,10.7,5.88,8.8,78.733,79.687,24.749
M0001,2018-06-01,31.799999999999997,15.5,7.0,10.8,5.86,8.97,76.971,77.908,24.12
M0001,2018-07-01,10.8,15.7,6.8,10.7,6.34,8.2,83.607,83.966,26.686
M0001,2018-08-01,20.8,17.2,7.4,11.7,6.4,7.71,92.976,95.395,29.78
M0001,2018-09-01,59.699999999999996,16.6,8.3,11.4,6.51,9.1,79.392,87.195,28.472
M0001,2018-10-01,77.8,15.9,7.2,10.8,5.93,8.92,83.004,91.377,25.222
M0001,2018-11-01,156.90000000000003,17.0,7.1,11.4,6.22,8.34,88.266,93.564,27.204
M0001,2018-12-01,58.400000000000006,15.0,6.5,10.3,6.45,9.95,82.974,83.831,26.012
